,training_type,network,optimizer,proposal,base_dist,step,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean
,,,,,,,mean,std,count,min,max,mean,std,count,min,max
0,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,312,-8.91927719116211,0.3403968303621131,2,-9.159974098205566,-8.678580284118652,-4.860946893692017,0.15560987362488973,2,-4.970979690551758,-4.750914096832275
1,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,625,-10.480029582977295,0.05978446167573297,2,-10.522303581237793,-10.437755584716797,-3.8902305364608765,0.11161378998873171,2,-3.96915340423584,-3.811307668685913
2,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,938,-57.826412200927734,55.845364614637866,2,-97.31504821777344,-18.33777618408203,-5.536715984344482,1.4927698932007922,2,-6.592263698577881,-4.481168270111084
3,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1251,-13.974225044250488,7.469593575693813,2,-19.256025314331055,-8.692424774169922,-4.0187681913375854,0.3201253763401314,2,-4.245131015777588,-3.792405366897583
4,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1564,-12.523514747619629,2.867284496024506,2,-14.55099105834961,-10.496038436889648,-4.441940784454346,0.9721423490128773,2,-5.129349231719971,-3.7545323371887207
5,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1877,-11.627987384796143,3.2150310624173426,2,-13.901357650756836,-9.35461711883545,-3.618241786956787,0.03510495306169386,2,-3.6430647373199463,-3.593418836593628
6,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2190,-8.521545886993408,0.6478105486039648,2,-8.97961711883545,-8.063474655151367,-4.205757975578308,0.5007047288968152,2,-4.559809684753418,-3.8517062664031982
7,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2503,-8.67358922958374,0.8950109188396366,2,-9.30645751953125,-8.04072093963623,-3.6452484130859375,0.04903195768363368,2,-3.6799192428588867,-3.6105775833129883
8,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2816,-6.489734172821045,0.4729550752498485,2,-6.824163913726807,-6.155304431915283,-3.7858028411865234,0.15178057955658394,2,-3.893127918243408,-3.6784777641296387
